,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_reese_socialMediaAbuse,tweets_reese_twitterHateSpeech
8032,8032,8032,Don’t let the Bs fool you SHE HOOP FOREAL #AngelReese,"[11, 6076, 2273, 1902, 2730]","[7768, 1765, 12542, 15709, 14125]",1,2
8033,8033,8033,Know an NFL fan complaining about #AngelReese? Search “taunting” in their tweets. The hypocrisy will be top tier😂 https://t.co/k2kcWhlp0G,"[951, 7651, 6132, 1342, 6454]","[758, 1776, 7768, 1517, 12518]",0,1
8034,8034,8034,"Good for #AngelReese 
Ain’t no fun when the rabbit got the gun. 😂😂😂😂","[4330, 3730, 951, 4196, 6076]","[7768, 1666, 1635, 9450, 4718]",1,2
8035,8035,8035,"Let the women play!
#AngelReese #LSUWBB #lsuvsiowa #NCAAWBB","[4643, 3922, 4262, 3700, 8203]","[842, 24711, 22211, 12296, 724]",1,2
8036,8036,8036,"Want to earn a championship ring 💍? Join a competitive sport that encourages you to be yourself! Get in the money game! 📲219-333-8929 

#LSU #AngelReese
#securethebag 
#upgradeyourlife 
#WestsideToWealth
#SouthsideToSuccess
#BecauseYouDeserveIt 
https://t.co/e7jLWX7W8w","[2638, 89, 3603, 3588, 7804]","[12296, 11747, 4115, 23434, 1696]",1,2
8037,8037,8037,"✅ Receive valuable tips for more profitable trading .
✅Free educational materials .
👉Attend regular webinars and live trading sessions for beginners and pros.
👉 https://t.co/DqcHusExCq

#WrestleMania #Black #Reese #Roman #Caitlin 
#AngelReese #Iowa #Greg #Warriors https://t.co/axQy0dhYaU","[563, 2068, 1841, 7762, 6]","[3546, 1806, 23918, 16651, 18633]",0,2
8039,8039,8039,It is what it is! 🤷🏾‍♂️  #AngelReese #LSU,"[7804, 6190, 3462, 3679, 7522]","[12296, 724, 842, 8393, 22211]",1,2
8040,8040,8040,#AngelReese Queening on Em #NCAAChampionship @LSUbaseball @LSU,"[7804, 7522, 2638, 672, 3667]","[5305, 11747, 4115, 842, 724]",1,2
8041,8041,8041,SUCKS TO BE A LOWA HAWKEYES FAN! Caitlin Clark started it and can’t take... https://t.co/5YFeSVZCwF via @YouTube #CaitlinClark #AngelReese #LSUBasketball #lowahawkeyes,"[6190, 2852, 781, 5904, 3922]","[12296, 7374, 17995, 7160, 8393]",0,2
8042,8042,8042,"Here's a thought.. U don't want to have to deal with someone dishing out some of your own medicine???

Don't lose.

And then when you do...React the way the world would want your opponent to react to you winning. Giving credit and congrats!! #LSUWBB #AngelReese #NCAAChampionship","[8484, 7838, 2531, 2638, 7804]","[17778, 12296, 11747, 5305, 8393]",1,2
8043,8043,8043,"Let’s not forget to make a bullet point about “unconscious gender bias”; it should go under your “unconscious racial bias” bullet, for tomrrow’s commentary when discussing  Women’s 🏀 &amp; #AngelReese , National Champion . Please say the “National Champion”","[4643, 7431, 2273, 959, 8203]","[15088, 18650, 18385, 10864, 758]",1,2
8044,8044,8044,#LSU #AngelReese #GeauxTigers https://t.co/0wu5HJx8MW,"[6190, 7804, 4686, 3679, 3603]","[12296, 842, 12380, 724, 846]",1,2
8045,8045,8045,"#LSU'S #10 #AngelReese -SOBaltimore, MD
TOOK THE #WOMENS #NCAAChampionship!!!","[6190, 3922, 7804, 2852, 7522]","[724, 842, 24711, 11747, 2588]",1,2
8047,8047,8047,Oh please. It’s cool when they do it but it’s a problem when we do it. Energy reciprocated! I stand with #AngelReese,"[323, 951, 2353, 460, 844]","[4329, 19396, 15819, 15878, 7768]",0,2
8048,8048,8048,“It’s cool when #CaitlinClark does it buts it’s a problem when #AngelReese does it” smh they’re big mad just because they lost to a LSU team full of melanated queens👑 what a shame Iowa try again next year #LSUWomensChampionship #LSULadyTigers #lsuvsiowa  #BlackLivesMatter https://t.co/uhwIpB2uOR,"[6190, 2852, 3922, 7804, 3171]","[8393, 12296, 17778, 842, 7549]",1,0
8049,8049,8049,@OrtizKicks So Catlin doing it and making comments about her “defense” on SC isn’t the same? You blaming the refs and everyone else. Just say you hate that @LSUBasketball and #AngelReese won 😬,"[812, 8015, 332, 6684, 6914]","[1776, 7638, 13796, 16451, 9769]",0,0
8050,8050,8050,"I had to write to stop myself from reading all the hateful comments. #NewBlog #Writer #Dallas #Journalist #LSU #AngelReese #BlackGirlsRock 

https://t.co/4RmFiHoicJ","[4863, 3462, 2852, 6190, 3993]","[5305, 1445, 10464, 3751, 17940]",0,0
8051,8051,8051,"They say “classless” more than they say “unsportsmanlike.”

That tells me the priorities and values of her detractors.

#AngelReese","[4643, 4325, 6454, 813, 2273]","[17037, 19748, 15501, 16557, 9251]",1,2
8052,8052,8052,"Pot, meet kettle? Actually, nevermind. She’s actually talented and has every right to talk all the trash she wants, just like every other athlete that goes out there and backs it up. You’re the useless turd that can’t handle it. Geaux off #AngelReese, you earned it queen.","[2665, 5417, 2026, 214, 6234]","[20767, 18431, 7768, 11698, 10470]",1,2
8053,8053,8053,CROWN HER! 👑 #AngelReese #LSU https://t.co/Q6QHOx05F3,"[417, 3178, 3922, 6190, 2852]","[20383, 19522, 20581, 12296, 1630]",1,2
8054,8054,8054,"Keith,

If I were you, I’d apply the info, that I assume you didn’t have, about #CaitlinClark’s behavior during the tournament, and either delete this tweet or apologize. You look like a little racist bitch right now. #AngelReese threw Clark’s taunt back in her face.","[1057, 6777, 5557, 6061, 3628]","[19572, 23000, 6075, 5444, 19621]",0,0
8055,8055,8055,@stoolpresidente @stoolpresidente upset that he couldn’t be that girl like #AngelReese 😂 https://t.co/U5ThuWsSEh,"[7298, 1744, 1682, 29, 7128]","[18197, 7389, 1106, 3267, 2410]",0,2
8056,8056,8056,"#AngelReese is about that #WordLife and for some odd reason is getting some sort of static about it?

Only one man to blame. 🤷🏽‍♂️ https://t.co/eQO3d3FSN5","[7651, 5840, 6076, 3917, 8493]","[7768, 18913, 5365, 8350, 14125]",1,2
8057,8057,8057,🫶🐯#AngelReese #LSULadyTigers https://t.co/WfUrcDSJH3,"[4686, 3097, 6076, 951, 2809]","[846, 5949, 915, 12380, 1287]",1,2
8058,8058,8058,Lol it’s cool when they do it but it’s a problem when she do it #AngelReese #lsuwomensbasketball,"[5632, 4643, 661, 3603, 5785]","[16138, 23602, 2484, 20153, 18440]",1,1
8059,8059,8059,"@WendyOsefo @SportsCenter For real? Are you seriously saying white people are making a fuss because she’s black? Clark did not direct her face wave at anyone. #AngelReese purposefully walked passed her— no wait. She stopped to face wave, point at her ring finger and I believe she did a second face wave https://t.co/9UxSxQKIbP","[1327, 958, 3976, 6234, 5537]","[1497, 3292, 14139, 21418, 22060]",0,2
8060,8060,8060,@SportsCenter Loving @Reese10Angel right now - you showed them - champ - they feelings hurt and I love it #AngelReese #ChampionshipMindset,"[1594, 1152, 2638, 3482, 2691]","[78, 2377, 7256, 4115, 14333]",1,2
8061,8061,8061,"@RunninXC @KevOnStage Save it Chad…

A black woman beat the Midwest’s white basketball savior and then shoved her own trash talk back in her face. No matter what #AngelReese did, zero times or 1,000, they were going to cry.

#GTFOH","[854, 317, 7289, 342, 7919]","[1129, 15088, 19211, 11556, 8405]",0,0
8062,8062,8062,Shouts to Bayou Barbie. You tha illest #AngelReese,"[951, 6076, 29, 3730, 4699]","[7768, 20174, 19522, 13566, 1654]",1,2
8063,8063,8063,"This won’t be seen by many, but I think it should be noted that Caitlin isn’t saying anything about Angel’s actions. ⚪️ ppl, if she’s not talking about it WHY WHY WHY are you? #AngelReese #CaitlinClark #NCAAMarchMadness","[951, 3730, 2568, 7651, 6076]","[7768, 8281, 13605, 7484, 23748]",0,2
8064,8064,8064,… .. . That’s all! 🗣️🙌🏻 #LSU #LSUBasketball #AngelReese #Champions https://t.co/hxhpglIkzo,"[6190, 7804, 6047, 3922, 3679]","[12296, 724, 842, 8393, 24711]",1,2
8066,8066,8066,LSU LSU LSU LSU Salute to the #LSUWBB #AngelReese #csm365 #jtheperspective #NationalChampions,"[6190, 7804, 3679, 3922, 4519]","[842, 12296, 12657, 11747, 724]",1,2
8067,8067,8067,"As I stated before, Angel went too far. They’re not showing the entire video of her following #CaitlinClark. That’s the classless behavior we’re talking about. 

#angelreese #ncaabasketball https://t.co/2uxNilcxVH","[5632, 5537, 4643, 951, 7651]","[7768, 17037, 6499, 22739, 9676]",0,0
8068,8068,8068,"This what true ballers and athletes do that have put in the work.  2.  When others did it, it was their intensity and love of the game.  Same energy! You are definitely a queen of the game. Show your enthusiasm. #marchmadness #lsu #AngelReese #nationalchamps #queen #basketball https://t.co/witUCqTNg9","[2638, 3679, 1594, 2995, 3588]","[12668, 12296, 5305, 12657, 1696]",1,2
8069,8069,8069,👏🏾👏🏾👏🏾#AngelReese #CaitlinClark https://t.co/50DeOtx6d4,"[3730, 951, 6076, 2118, 4686]","[19899, 5730, 19058, 7768, 5949]",1,2
8070,8070,8070,this is iconic. #AngelReese,"[951, 3730, 6076, 7651, 7069]","[7768, 678, 14125, 15709, 764]",1,2
8072,8072,8072,If some of y'all could kindly step away from the #CaitlinClark vs. #AngelReese debacle for a second &amp; try the Queso Fiesta twists and get back to me on the taste that'd be great 👍 #Taste #OldElPaso #FiestaTwists https://t.co/Ju4brZYX4D,"[5984, 5423, 3391, 5283, 4859]","[20383, 17938, 19110, 14012, 4029]",1,2
8073,8073,8073,"@SportsCenter Still don't know what that means...
#AngelReese https://t.co/4N4vrQLllJ","[7651, 951, 6076, 3730, 2225]","[78, 16155, 14125, 15709, 15775]",0,2
8074,8074,8074,@espnW Sadly her players were not coached to be that kind of player. She described #angelreese as having many personalities &amp; u never now which one u r getting🤷🏼‍♀️,"[951, 2691, 8015, 2665, 2026]","[7768, 19431, 3892, 2404, 14192]",0,2
8075,8075,8075,Congratulations LSU &amp; thanks Angel for being unapologetically YOU #AngelReese #BlackGirlMagic https://t.co/1fjY09l8dw,"[6190, 3922, 7804, 2852, 2235]","[2588, 12296, 1630, 6499, 5637]",1,2
8076,8076,8076,"I don’t approve of some of the behavior, but I love that so many people are talking about women’s basketball! #CaitlanClark #LSUTigers #IowaBasketball #AngelReese","[4643, 8203, 2852, 6190, 2235]","[758, 842, 724, 20153, 12657]",1,2
8077,8077,8077,"With Angel Reese being the ""Bayou Barbie"" &amp; Most Outstanding player of the game, she is also the Double Double Queen. Reese scored 34 Double-Doubles in a single season for a NCAA record! Reese helped lead LSU to their 1st title in program history.#lsuwomensbasketball #AngelReese https://t.co/z1gZ2vS9ET","[2026, 5865, 1512, 6777, 6424]","[8841, 2369, 8672, 16138, 9542]",1,2
8078,8078,8078,My thoughts on the Angel Reese and Caitlyn Clark drama https://t.co/NakUaGSovq via @YouTube #caitlynclark #angelreese #noclass #clippers #mavs #NCAAWomensChampionship #NCAAMarchMadness #sports #tmz,"[2026, 3542, 697, 951, 7069]","[6499, 9122, 8672, 3490, 1771]",0,2
8079,8079,8079,"these kept popping up on my timeline, let’s just keep this shi short im arguing with WHOEVER bout #AngelReese 🥴‼️no matter the context it means the same thing y’all mfs just racist😕 https://t.co/si1B4QquDE","[6076, 7651, 951, 3730, 7623]","[7768, 16689, 14125, 15709, 1671]",0,0
8080,8080,8080,"It’s cool when they do it, it’s a problem when I do it… Fuck em!! #AngelReese 🤷🏾‍♂️ https://t.co/vZfn4QMcZi","[951, 7651, 1143, 2517, 6008]","[7768, 23089, 311, 23328, 9284]",0,2
8081,8081,8081,Rooting for everybody black! #AngelReese #Goodnight 😂,"[1168, 951, 7978, 7124, 6076]","[17118, 7509, 3569, 9516, 19522]",1,2
8082,8082,8082,Racial bias…Fuck em #AngelReese …and #CaitlinClark great game,"[6976, 966, 1168, 1226, 3730]","[7768, 1517, 13804, 13606, 19471]",0,0
8083,8083,8083,@chandlerdmack Angel Reese is an absolute powerhouse and deserves to be recognized for her talent! She's a true Hall of Famer and should be inducted ASAP. 🔥🏀 #AngelReese #HoF See my bio bro,"[2026, 3244, 754, 6777, 2751]","[16993, 9446, 7768, 2899, 4118]",1,2
8084,8084,8084,"#blacktwitter do ya thang 
#LSUWomensChampionship #lsuwomensbasketball #AngelReese  #CaitlinClark https://t.co/h5wCPh5Hw8","[7804, 3679, 7522, 6190, 1823]","[11747, 9671, 12296, 842, 12657]",1,2
8085,8085,8085,Its the eye-rolling for me!!  #PurpleGold #LSULadyTigers #LSU #AngelReese,"[6190, 3679, 5527, 4125, 4654]","[12296, 2588, 11747, 842, 22211]",1,2
8086,8086,8086,"If you’re mad #AngelReese waved her hand and pointed at her finger, you need to get thicker skin.","[951, 1143, 2455, 2503, 1200]","[7768, 1668, 992, 23376, 506]",0,2
8087,8087,8087,Ppl so damn RACIST!!! It's cool when they do it's a problem when we do it! F**K EM!!! #AngelReese,"[3575, 890, 1789, 7581, 5380]","[1260, 19176, 6247, 24378, 17257]",0,0
8088,8088,8088,Not sure these two young ladies realize how powerful they are. Single-handedly divided the sports world in a few hours.  #WFinalFour #WNCAA #AngelReese #CaitlinClark,"[4643, 8203, 3625, 3687, 2161]","[758, 18066, 2860, 21728, 8138]",1,2
8089,8089,8089,The previous game she gave credit to God. How can someone act like that and mention the name of God at the same time? I lost all respect for that girl. Maybe her god is Satan. #AngelReese,"[2665, 5292, 7069, 6234, 3730]","[7768, 11541, 17427, 21753, 2078]",0,0
8090,8090,8090,People showing their racism today #AngelReese,"[6076, 7651, 951, 3730, 6976]","[7768, 19176, 6247, 1260, 2720]",0,0
8091,8091,8091,#CaitlinClark with will more WNBA Championships than #AngelReese !! Mark my works!,"[5865, 2118, 1512, 2026, 2691]","[20153, 856, 758, 14463, 1704]",1,2
8092,8092,8092,"Well deserved @Reese10Angel 
😊 👑
#AngelReese","[5826, 754, 3730, 6076, 6777]","[6950, 2899, 4987, 18244, 5730]",1,2
8093,8093,8093,Can someone please show me one instance of anybody writing or saying anything about her being “Too hood” or “Too ghetto”? Highly doubt anyone would be able to get away with that in 2023. Maybe i’m wrong. Genuinely asking. #AngelReese #LSULadyTigers #LSU,"[8080, 7912, 6234, 6181, 2852]","[22692, 13531, 14232, 9693, 7853]",1,2
8094,8094,8094,"If Iowa won, and #CaitlinClark did that to #AngelReese. And the media responded with “oh it’s fine” like they are for POSreese. Then it would be full on race wars. If a man did that to a man, it would be a brawl. Stop acting like it’s okay you classless ass sportscasters.","[5097, 5172, 3922, 3230, 736]","[731, 16451, 670, 22451, 758]",0,0
8096,8096,8096,@KeraBirk @SportsCenter Y’all big mad #AngelReese https://t.co/ht2vp3aP87,"[5306, 3603, 2225, 3097, 4620]","[78, 4635, 5925, 5496, 3757]",0,2
8097,8097,8097,My bro @veesaintlaurent trolling #AngelReese haters has been the highlight of my night. 😂🙏,"[951, 6076, 7651, 6934, 3730]","[7768, 14191, 12518, 6153, 1304]",1,2
8098,8098,8098,Randallstown baybee! #Baltimore #BayouBarbie #NCAAChampionship #AngelReese,"[3922, 6190, 3603, 5527, 107]","[842, 11747, 22211, 724, 9671]",1,2
8100,8100,8100,"Tune in to SDP - Societal Destruction Podcast
Don't let the constraints of society stand in your way!
@Play More Pods #PodcastsonAmazonMusic #RealLifeRealPeople #Wrestlemania #Flamengo #Clark #AngelReese #Iowa #KimMulkey

📷
Like
Comment
Share https://t.co/ucEeZiGgRx","[2185, 6246, 3232, 996, 911]","[19242, 747, 18354, 3550, 10054]",0,2
8101,8101,8101,@bigashlol I Love #AngelReese 💜💛💜💛💜,"[951, 3730, 6076, 7651, 2517]","[5730, 2410, 3238, 2392, 5188]",1,2
8102,8102,8102,"Oh Black Twitter said “We got time today!” 💅🏾💅🏾
#AngelReese #LadyTigers #YouCantSeeMe","[3929, 135, 7978, 7608, 5602]","[15429, 7584, 14063, 1657, 706]",1,2
8103,8103,8103,"ay @LSUBasketball let Angel know I'm already down to go to war for her against those ready to throw ""classless act"" when it comes to Black people. #wnba #AngelReese","[2026, 5865, 392, 754, 2852]","[6499, 2484, 20153, 16138, 15088]",1,2
8104,8104,8104,"Continue to make the city proud, @Reese10Angel 🙏‼️‼️‼️ #NationalChampionship #LSU #LSUvIowa #AngelReese #Basketball","[6190, 1019, 3679, 5865, 7804]","[11747, 12296, 724, 842, 9671]",1,2
8106,8106,8106,On Behalf of #AngelReese Fucc y’all #GeauxTigers #lsuwomensbasketball,"[3603, 5306, 5785, 5911, 736]","[842, 6017, 21096, 12380, 804]",0,0
8108,8108,8108,"MAINSTREAM MEDIA LET THIS BE A WARNING.
DO NOT COME 4 OUR BLACK WOMEN. DISRESPECTING OUR QUEENS  WILL NOT BE TOLERATED. PERIODT. YES WITH THE T ! #AngelReese #lsuwomensbasketball #isuvsiowa #SouthCarolina #CaitlinClark #Ballers #GreatGame #WomensBB @firstandpen @unclelukereal1 https://t.co/Xkb5qCXlLY","[4643, 8203, 1209, 317, 2273]","[15088, 15105, 22427, 19550, 18694]",1,0
8109,8109,8109,#LSU #AngelReese #Classic not Classless. https://t.co/ZAg9wEMZD6,"[7804, 4519, 6190, 7522, 3922]","[12296, 724, 8393, 2588, 19650]",1,2
8110,8110,8110,The fact that y’all said Reese has no class and When Clark did it she was HERMOTHY… is one of the still big problems with Society. #noclass #CaitlinClark #AngelReese https://t.co/K0SShzMvnN,"[5826, 6234, 1748, 6777, 5658]","[9881, 22148, 24493, 24414, 1035]",0,2
8111,8111,8111,I cant wait to see Caitlin Clark and Angel Reese play  in the WNBA #CaitlinClark #AngelReese #iowavslsu,"[2026, 6234, 6777, 3384, 1748]","[20153, 12668, 11815, 7028, 13605]",1,2
8112,8112,8112,So beautiful #AngelReese,"[951, 3730, 6076, 7651, 3178]","[7768, 1704, 19522, 15313, 2410]",1,2
8113,8113,8113,I'm here for @Reese10Angel Black girl Magic. #lsuwomensbasketball #AngelReese #BlackGirlMagic #marchmadness2023 https://t.co/Gv1BuFr1Hh,"[5826, 2256, 7558, 317, 6248]","[5370, 12675, 6917, 5941, 1338]",1,2
8115,8115,8115,"Let’s call it what it really is🤔 
@Reese10Angel #lsuiowa #lsu #basketball #CaitlanClark #AngelReese #racist https://t.co/OpkQXZZekU","[6190, 1883, 866, 5865, 332]","[13551, 5442, 3684, 18521, 846]",0,0
8116,8116,8116,"LSU LSU LSU the Tigers bringing home the National Championship home to the Boot.
#LSUWBB #lsuwomensbasketball #LSUWBKB #AngelReese #KimMulkey #csm365 Thanks for the Post @TheNolaGirl Salute to you. #Louisiana","[6190, 3922, 1707, 6047, 1169]","[12296, 24711, 842, 12657, 9671]",1,2
8117,8117,8117,"Fuck Class! Where did it ever get you. If you don't believe me ask your bosses boss boss. Nowhere! 
#AngelReese
Congrats LSU.....","[7804, 2235, 8343, 3922, 3044]","[5756, 5499, 9248, 9198, 12296]",0,1
8118,8118,8118,@cimarron_kid @espn I see #tRumpSupporters are having a rough month.. Go #AngelReese,"[7722, 4620, 7932, 7651, 373]","[2547, 18085, 16861, 17999, 4976]",1,2
8119,8119,8119,I want to thank Flo-Jo for setting the standard for black female athletes! Showing them that they can be themselves without having to fit the mold of what society thinks they should be!!!  👸🏾#Serena #Venus #ShaCarri #Simone #LSU #AngelReese,"[4643, 5632, 6828, 8203, 1902]","[16740, 15088, 1442, 2691, 15484]",1,2
8120,8120,8120,#Angelreese giving it right back to #CaitlinClark …#johncena would be proud! #raleigh #basketball #NationalChampionship #NCAAWFinalFour  #womensfinalfour  #ncaa #marchmadness2023 https://t.co/d5OToKt92D,"[5865, 754, 627, 5537, 2691]","[842, 1398, 724, 5305, 12657]",1,2
8121,8121,8121,@001cozy001 @espn Don’t speak for me. I became a fan of #AngelReese tonight!,"[951, 7651, 6076, 3730, 812]","[5461, 15318, 6948, 24490, 1108]",1,2
8122,8122,8122,put some respect on her name  #AngelReese y’all giving mad with a stuck face 😂 https://t.co/jQEnW9BlhU,"[6076, 5417, 7651, 951, 2665]","[7768, 15984, 1215, 5543, 19522]",1,2
8123,8123,8123,@KimMulkey gotta work on your gritty. Congratulations on the National Championship! #LSUWBB #NCAAChampionship #lsuwomensbasketball #KimMulkey #AngelReese,"[6190, 3922, 1823, 7804, 7838]","[4115, 5305, 11747, 2588, 842]",1,2
8124,8124,8124,#CaitlinClark did that shit first ON FRIDAY before #AngelReese so we don’t want to hear shit about it! #LSU STAND TF UP🙌🏽,"[2836, 1168, 627, 6190, 7804]","[8393, 842, 12296, 1143, 14463]",0,0
8125,8125,8125,WHAT RAPPER MOST LIKELY TO WEAR AN #AngelReese JERSEY THIS SUMMER?,"[29, 1080, 4684, 8250, 5865]","[15493, 16361, 19522, 8958, 660]",0,2
8126,8126,8126,@KeithOlbermann @MG_Schindler @juliettekayyem Wow you are really butt hurt about this huh Keith? It gon’ be alright boo. Let the Black queen live #AngelReese,"[497, 2194, 7282, 5717, 6266]","[13981, 17956, 6212, 15467, 15919]",1,2
8127,8127,8127,@Reese10Angel That’s right talk your shit 💯🤟🏽 congratulations 🎉 #angelreese #LSUvIowa #LSUBasketball #ncaabasketball #BlackTwitter,"[7804, 5785, 6190, 7522, 3922]","[5305, 11747, 4115, 5461, 1696]",1,1
8128,8128,8128,"So much talk about #angelreese and her antics after a national championship victory ,HWEVR The real conversation should be how gr8 this game was &amp; the attention it got nationally! Huge win for #NCAAWBB !!! Gr8 game! #lsu #CaitlinClarke #iowahawkeyes #LSUvIowa #LSUBasketball","[3922, 6190, 6429, 2852, 6132]","[12296, 724, 842, 2588, 5305]",1,2
8129,8129,8129,BLACK WOMEN DESERVE to be celebrated and they deserve to celebrate LOUDLY &amp; PROUDLY!  What #LSUWBB accomplished was no small feat!  ENJOY YOUR WIN LADIES! You earned it! #AngelReese,"[3479, 3700, 4052, 8203, 7581]","[15088, 19550, 8844, 8018, 15445]",1,2
8130,8130,8130,"@sportingnews @Reese10Angel #AngelReese  showed every little girl that #CaitlinClark  brought to the TV screen exactly how NOT to act.  She literally made herself an enemy to families across America.  They know her name, but it's to show their kids how not to act.

#IOWA #LSU #lsuvsiowa","[5528, 392, 7273, 2665, 318]","[16462, 16138, 2718, 14832, 17956]",0,0
8131,8131,8131,Ummmm interesting 🤔 #AngelReese #CaitlinClark Congratulations #Lsu 🏆🥰,"[7804, 2235, 3922, 1213, 7522]","[724, 20581, 1378, 842, 12296]",1,2
8132,8132,8132,"@KeithOlbermann @RickyJMarc It did not! Congratulations Black Queen! #angelreese get out of your racist feelings Keith you are better than that, right?","[7581, 854, 7574, 8352, 5166]","[19176, 4628, 2719, 5131, 15315]",1,1
8133,8133,8133,@mommasan54 @KimElanges Shut up racist hypocrite. #AngelReese,"[2665, 661, 854, 306, 6076]","[19176, 18433, 19572, 2720, 19750]",0,0
8134,8134,8134,#AngelReese Did Her BIG ONE! Love it Talk Your Shit! 🔥🔥🔥,"[951, 6076, 3730, 2665, 5417]","[7768, 14315, 764, 19522, 5188]",1,2
8135,8135,8135,"Well...it's official. #AngelReese is racist trash. 

#LSU #lsuvsiowa","[6190, 5527, 6076, 7651, 736]","[8393, 12296, 17778, 846, 7768]",0,0
8136,8136,8136,Shoutout to my girl Angel Reese with her cute ass!! Congrats to LSU on winning the Natty...time to celebrate 🍾...#LSU #AngelReese,"[3922, 6190, 754, 2852, 3178]","[12296, 2588, 7549, 724, 9452]",1,2
8137,8137,8137,Angel Reese RESPONDS To Being Labeled CLASSLESS For Taunting Caitlin Clark https://t.co/3w1I29FMrf via @YouTube #AngelReese #CaitlanClark #lsu #NCAA #marchdadness https://t.co/EU9iRKMeSL,"[6454, 3044, 2235, 7321, 6951]","[6499, 99, 17995, 17037, 14832]",0,2
8138,8138,8138,"most of the people speaking down about #AngelReese are white men, really brings things into perspective. white men reeeealllyy hate when they can’t control black women specifically","[7651, 6076, 951, 6441, 2273]","[15393, 15105, 7768, 19550, 7699]",1,0
8139,8139,8139,"Angel Reese sending back the same energy to Caitlin Clark after LSU’s victory is not classless or “hood.” 

What you’re seeing is a double standard. If Angel looked like Caitlin, I promise you this wouldn’t be trending, but here we are.

#lsuvsiowa #AngelReese #CaitlinClark https://t.co/JXBdz0AgFW","[6777, 8041, 1512, 5537, 4716]","[20224, 7768, 9368, 9370, 15542]",1,2
8141,8141,8141,1) Another day another way to spot those who have absolutely no idea how their own racial biases influence their behavior. You mean to tell me a few extra seconds of similar behavior is the difference between no response or cheering on #CaitlinClark and demonizing #AngelReese…,"[2455, 6596, 5843, 854, 1921]","[1019, 3292, 3671, 2720, 6397]",0,2
8142,8142,8142,If “Pop yo shit and do yo big one” was a person 🔥🤩🫶😍 #AngelReese You go girlllll✨,"[29, 8250, 6820, 951, 8426]","[15050, 12650, 13208, 17217, 21824]",1,2
8143,8143,8143,I mean 🤷🏽‍♀️ LSU 💜💜💜💛💛💛💛🌟🔥🔥🔥🔥🔥🔥🔥🔥🔥 #lsuvsiowa #CaitlanClark #AngelReese #ChampionshipGame https://t.co/u5s8FFNOAN,"[6190, 3922, 2852, 627, 7568]","[724, 12296, 8393, 11747, 842]",1,2
8144,8144,8144,Black Women Winning 🙌🏾🏆🎗💕 https://t.co/BcZSPwyoEe #LSUBasketball #AngelReese #BlackWoman #WNBA #WNBATwitter #JesusChrist https://t.co/fnJD0C8rEN,"[8203, 4643, 5865, 6976, 317]","[20153, 15088, 1630, 6638, 9984]",1,2
8145,8145,8145,"Love it. Love it. Love it. Ring her! #AngelReese

And hopefully ESPN isn't implying anything with that ""shocked"" emoji...Esp after the Iowa player did the same thing to Louisville... 

So glad Reese will get a ring soon!  And the Iowa player will get another chance. Next year. https://t.co/T5cxnuBOKd","[2026, 3922, 812, 5826, 6777]","[11815, 7028, 2629, 4393, 6705]",1,2
8146,8146,8146,"Here I would like to introduce you to the least humble, classless winner of all time! Everyone is laughing at you as your attempt to rattle the greatest player to play in the #NCAA tournament. #AngelReese #CaitlinClark #marchmadness2023","[7838, 6077, 2033, 1923, 7804]","[1630, 17995, 2588, 725, 4115]",0,0
8147,8147,8147,"Just like the lyricist #finesse2tymes said, it’s cool when they do it, it’s a problem when I do it. 😂 what’s the problem? #AngelReese #CaitlanClark #lsuvsiowa https://t.co/7LQvxtu4tw","[5892, 7289, 1179, 1317, 29]","[5197, 7875, 1521, 19522, 14716]",1,2
8148,8148,8148,Aye #AngelReese remind me of my cousin Darshae,"[3730, 951, 6076, 7651, 7069]","[7768, 21287, 21163, 22949, 17225]",0,2
8149,8149,8149,YOU CANT SEE MEEEEE !!! #AngelReese,"[3730, 951, 6076, 7651, 153]","[7768, 23414, 10134, 14191, 6203]",1,2
8150,8150,8150,The only ppl I'm seeing saying this was unsportsmanlike and classless are the same color as Caitlin Clark. It's the age old okie doke that they've been doing. Their prejudice &amp; racism reveals itself every trip!! #AngelReese #CaitlinClark #lsuvsiowa,"[6976, 4406, 4643, 8159, 5528]","[16103, 15542, 6652, 1227, 8105]",1,0
8151,8151,8151,@dyllyp #AngelReese #CaitlinClark https://t.co/ETuMT0Bz1K,"[3730, 1485, 2118, 4686, 2665]","[19899, 5730, 5160, 4276, 18537]",0,2
8152,8152,8152,“I don’t take disrespect lightly.” - #AngelReese,"[951, 3730, 7651, 6076, 7069]","[7768, 10146, 1215, 481, 12815]",0,1
8153,8153,8153,I have zero issue with Angel Reese pulling John Cena on Caitlin Clark. Seriously I don’t. What is the media’s problem with this. It is called COMPETITIVE BASKETBALL #AngelReese #CaitlinClark #letitgo,"[6293, 5492, 5017, 4684, 2919]","[16858, 22771, 4871, 8847, 10197]",1,2
8154,8154,8154,White People Be Killing Me With Their Double Standards🤣🤣🤣 Congrats #LSU #AngelReese,"[6190, 7804, 3922, 7978, 1655]","[12296, 2588, 724, 5637, 823]",0,1
8155,8155,8155,"If this had been the Men's #NCAATournament , no one would have blinked at what happened between #CaitlynClark &amp; #AngelReese. B/C Caitlyn is a WW, she was praised. B/C Angel is a BW, she was vilified &amp; shamed. They both did the SAME thing, but Angel is supposed 2 back down?","[4626, 951, 1512, 4643, 6076]","[7768, 758, 14315, 3359, 14125]",0,0
