,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_clark_socialMediaAbuse,tweets_clark_twitterHateSpeech
6369,6369,6369,"Frankly I don't think any of you truly care and this is just another avenue to be mad about something, especially when it comes to an #AngelReese

But are we, objectively, stating that these two things are the same?

Which player is #CaitlinClark following around? https://t.co/bHfxEkS8Ew","[951, 1168, 6076, 7651, 4958]","[7768, 14125, 15709, 757, 16299]",0,2
6370,6370,6370,Hats off here to #caitlinclark and the #iowahawkeyes who show that champions aren’t always identified by what shows up on a scoreboard.,"[4843, 627, 6190, 3922, 6647]","[24711, 731, 842, 24123, 20224]",1,2
6371,6371,6371,"Angel Reese taunts Caitlin Clark 👀

#AngelReese
#CaitlinClark
#2023NCAATournament
#LockharTVMedia https://t.co/tvTdcbTDpx","[697, 3730, 2045, 951, 2256]","[9881, 19522, 19899, 19058, 24314]",0,2
6372,6372,6372,Keep that same energy. #LSUvIowa #LSUWBB #AngelReese #CaitlinClark https://t.co/p78PAUG3IB,"[7934, 8041, 1877, 361, 2837]","[19396, 1378, 1922, 15878, 8947]",1,2
6373,6373,6373,"Angel Reese is just a classless bitch. She should get her damn teeth knocked down her throat. She pull that shit to someone with less class than Clark, she get he hoe ass whipped #angelreese #CaitlinClark #NCAAWBB","[5826, 6234, 6777, 2026, 6076]","[7768, 13605, 24593, 8281, 13644]",0,0
6374,6374,6374,"If it wasn’t a big deal when Caitlin Clark did it, it’s not a big deal if Angel Reese does it. Just stop and let all these women/amazing athletes  have their moments. #youcantseeme #angelreese #CaitlinClark #lsu #IowaBasketball","[4643, 2026, 1594, 6777, 6234]","[14832, 20153, 14422, 758, 6499]",1,2
6375,6375,6375,Can’t wait to hear what @bomani_jones has to say about #womensfinalfour #WomensChampionship #NCAAChampionship #CaitlinClark #angelreese https://t.co/HYKzZ4n4Kz,"[4643, 8203, 2235, 7431, 4669]","[1085, 19614, 1891, 18635, 6499]",1,2
6376,6376,6376,Proud of the Iowa Hawkeyes #CaitlinClark,"[6190, 789, 2852, 5904, 6356]","[731, 24123, 6293, 842, 24205]",1,2
6378,6378,6378,@MarchMadnessWBB @LSUwbkb And next year it will be #Iowa and #CaitlinClark who put people in the seats and viewers watching on TV.,"[3922, 2852, 2026, 6190, 5528]","[18399, 4664, 6178, 14243, 5699]",1,2
6379,6379,6379,"still a Hawkeye, thank you #CaitlinClark and Hawkeye Nation!","[789, 5904, 6356, 2045, 3500]","[15816, 24123, 7158, 6293, 23847]",1,2
6380,6380,6380,This has already gotten out of hand! Oh and the refs sucked! Get back to the mountains and cry me a river. #angelreese #caitlinclark #iowa #lsu #basketball #nationalchampionship #lsuforever #nationaltitle #johncena https://t.co/34WaEZvU01,"[6190, 3922, 2836, 2852, 332]","[842, 24711, 16451, 724, 9671]",0,0
6381,6381,6381,"Caitlin Clark has been doing the “U Can’t See Me” gesture all season, now it’s a problem that Angel Reese mimicked it, stop with the selective outrage!! @CaitlinClark22 @Reese10Angel 
#NCAAWBB 
#NationalChampionship 
#lsuvsiowa 
#angelreese 
#CaitlinClark 
#NCAAWBB https://t.co/jxhvTn42HO","[951, 2256, 2455, 5537, 7495]","[17995, 6075, 6724, 3086, 16462]",0,2
6382,6382,6382,Also classless? #CaitlinClark #AngelReese #lsuvsiowa #lsu #iowa #champions https://t.co/pWTnZmkSAE,"[7804, 3922, 8193, 627, 6190]","[724, 14855, 842, 6652, 13402]",0,0
6383,6383,6383,No one watches that game and cares this much If @CaitlinClark22 didn’t put women’s basketball in the spot light. #CaitlinClark #LSU #iowavslsu @Reese10Angel,"[6190, 2852, 5865, 4643, 1594]","[7539, 5305, 842, 758, 14661]",0,2
6384,6384,6384,"#GeauxTigers #CaitlinClark #Iowa #LSU #AngelReese #WFinalFour #MarchMadness #Caitlin #Clark
#basketball #sports 
🥱🍿 You lost Iowa https://t.co/3jNU9HR6Wz","[6190, 627, 3922, 2852, 781]","[842, 9671, 24711, 724, 22211]",0,0
6386,6386,6386,It’s giving #gridirongang vibes #AngelReese #CaitlinClark #itscoolwhentheydoithuh https://t.co/iAOYjNfaGp,"[3078, 2603, 3917, 1846, 8467]","[19522, 4937, 1927, 16254, 16432]",1,2
6387,6387,6387,"What a disgraceful move by #AngelReese taunting #CaitlinClark AFTER the #NCAAChampionship #NationalChampionship by #LSU 

How do you act with such disgusting sportsmanship unless it's the true colors of being a classless undisciplined fool

What a bad taste that left. #KimMulkey https://t.co/3mdjidsEhv","[7838, 332, 6333, 1594, 5527]","[1776, 6499, 16310, 17995, 17778]",0,0
6388,6388,6388,"@JalenRose @dawnstaley She’s getting some of her own medicine, good for #AngelaReese. If #CaitlinClark can go kick ricks if she has a problem with it. https://t.co/1r7dCtycoP","[6777, 7753, 37, 883, 4437]","[4133, 6949, 4535, 3461, 3136]",1,2
6389,6389,6389,"If you can dish it - you better be able to take it 💜💛💜💛 #LSUWBB #AngelReese 
#CaitlinClark #lsuvsiowa https://t.co/ZuxGLNVKeT","[2202, 3922, 7804, 4631, 8343]","[11747, 725, 12296, 22079, 22211]",1,2
6390,6390,6390,"🎶 ""It's cool when they do it, It's a problem when I do it...Fuck em!"" 🎶 We matching energy around here!🔥🔥🔥
#NCAAWBB #NCAAFinalFour #LSU #angelreese #CaitlinClark #matchingenergy #NCAAWChampionship #NCAA #WFinalFour   https://t.co/A3vhqEeq3t","[2638, 6047, 7804, 7522, 3679]","[724, 842, 12296, 11747, 725]",1,1
6391,6391,6391,Boom got #Cavs trivia right! @MrCavalier34 #CaitlinClark,"[1923, 2691, 5865, 5053, 186]","[1285, 9632, 7256, 4214, 4708]",1,2
6392,6392,6392,"Anger over ""Inconsistent #officiating"" re #LSU’s 102-85 #NationalChampionship game win over #Iowa. #Superstar #CaitlinClark, who scored 30 pts, called for a questionable #TechnicalFoul after tossing the #basketball behind her during a stoppage of play.
https://t.co/pavgGQdgPD","[7838, 5865, 332, 6190, 1122]","[7539, 8393, 1776, 842, 15127]",0,0
6393,6393,6393,"Angel Reese taunts Caitlin Clark 👀

#AngelReese
#CaitlinClark
#2023NCAATournament
#LockharTVMedia https://t.co/muzdtjyHWM","[697, 3730, 2045, 2256, 3222]","[9881, 19522, 19899, 19058, 5730]",0,2
6394,6394,6394,Put some respect on it #CaitlinClark,"[2666, 7607, 318, 7273, 4760]","[19899, 9881, 14475, 7425, 6332]",1,2
6397,6397,6397,"C H A M P S 🏆

#LSUWBB #lsuiowa #NCAAChampionship #lsu #angelreese #CaitlinClark #icantseeyou #Champions https://t.co/1lp8s88ibo","[7804, 6047, 7522, 3679, 2638]","[724, 11747, 842, 8393, 5305]",1,2
6398,6398,6398,@Reese10Angel #CaitlinClark ignoring her @'s tonite ✊🏾 https://t.co/aJqSgIVy8V,"[6777, 2974, 5417, 5537, 5826]","[19899, 6332, 6075, 4987, 18197]",1,2
6399,6399,6399,"Obviously in another, more accurate way, #AngelReese is the real winner today, but GODDAMN am I loving the Reese / #CaitlinClark show on Twitter tonight. Frickin GREAT for basketball &amp; women's sports (ie sports...cause like...well anyway) https://t.co/XdSs9AXVX3","[6777, 3384, 5826, 3922, 2026]","[1630, 14243, 23648, 2899, 14354]",1,2
6400,6400,6400,#AngelReese #CaitlinClark #LSU https://t.co/3HcM09iwQo,"[7804, 7522, 4686, 6190, 6269]","[5949, 846, 12380, 4937, 1378]",1,2
6401,6401,6401,@CaitlinClark22 We love you Caitlin!! Keep your head up kiddo! So proud to be a HAWKEYE!! #Hawkeyes #CaitlinClark,"[789, 5528, 958, 3222, 5904]","[15956, 12675, 5744, 11384, 9652]",1,2
6402,6402,6402,#AngelReese you are the truth @gamecocksonline @awebbreese #toplevelsportscards #womensmarchmadness #caitlinclark #angelreese @LSUBasketball https://t.co/81RhrQ6swv,"[4643, 7965, 7838, 8414, 5865]","[7141, 5461, 4144, 16409, 16299]",1,2
6403,6403,6403,"@SECNetwork @LSUwbkb Idk who this is

I know who #CaitlinClark though. She's iterally the only reason I know that college women's basketball is in season","[5528, 2026, 661, 6234, 37]","[4144, 19899, 18635, 12675, 7141]",0,2
6404,6404,6404,@Reese10Angel Thankful you didn't put your hands on #CaitlinClark . I was worried about her,"[2974, 2568, 754, 6777, 3222]","[19899, 6072, 6663, 3825, 19713]",0,2
6405,6405,6405,There was a obvious difference Reese did it in the face whereas Clark did it generally and not in someones face. Reese went out of her way to make sure Clark saw her and was just poor sportsmanship and in bad taste! #WFinalFour #NationalChampionship #AngelReese #CaitlinClark,"[6777, 5826, 6234, 2026, 4760]","[11497, 24414, 5479, 13644, 24493]",0,2
6406,6406,6406,Congrats to @LSU but teach your players some sportsmanship. #AngelReese  of #LSU  mocking #CaitlinClark was just poor. #taunting is not the look of a champion.  :(  #LSUvsIOWA,"[7838, 6190, 3922, 4137, 2235]","[12296, 8393, 2588, 5305, 17778]",0,0
6407,6407,6407,"I’m of course sad about today’s outcome but people are talking about women’s college basketball and I love it. Go hawks, always and forever. This game is growing because of you. #hawkeyebasketball #iowawomenbasketball #caitlinclark #iowahawkeyes https://t.co/J9gQINlQEQ","[6190, 2852, 3922, 7573, 6325]","[11817, 842, 24711, 2226, 9671]",1,2
6408,6408,6408,@bigashlol Clark's sportsmanship just asks ugly #CaitlinClark #LSUvsIOWA,"[7838, 7607, 5528, 8236, 3230]","[18244, 6104, 6858, 5609, 18399]",0,0
6409,6409,6409,Let these women hoop and stop being fragile and soft. #CaitlinClark didn’t die. She’s gonna get back in the gym and grind and try to make her way back next season. Fans are more emotionally soft than these female athletes. These women played their asses off. Both teams!,"[4643, 4626, 6777, 8203, 4348]","[20585, 22771, 758, 14832, 12867]",1,2
6411,6411,6411,How Twitter is coming for Barstool sports for Angela Reese!!! #CaitlinClark #LSUvsIOWA https://t.co/MZiWeAnH1a,"[4321, 6777, 754, 8140, 186]","[16227, 2009, 3896, 20155, 19483]",0,2
6412,6412,6412,#CaitlinClark WAAAAYYY more G than her symp ass fans. She dished it out and took it without getting mad. Fans too busy being pussies to see how Much of a big dog she was in the moment. She know she talk shit and she can take it. #Wcbb #LSU #Hooplife #NATIONALCHAMPIONSHIP,"[2691, 5528, 5527, 2852, 4321]","[12296, 17778, 8393, 9845, 5305]",1,2
6413,6413,6413,@CaitlinClark22 Congratulations on a fabulous season &amp; thank you for the exciting TV moments you &amp; IowaWBB provided for the country.  I think you enthralled the entire sports minded country with your dazzling skills &amp; good sportsmanship. YOU R ALL WINNERS!  #CaitlinClark #IowaWBB,"[3178, 1588, 3922, 7838, 6190]","[24123, 6327, 5609, 6797, 17995]",1,2
6414,6414,6414,"@KeithOlbermann Quite harsh. And off putting. I sincerely hope you apologize and make amends. Until you do, I will refrain from engaging and promoting your tweets. I hope others follow my example. #AngelReese #DoubleStandard #CaitlinClark","[5959, 5088, 2663, 6728, 1517]","[17589, 15457, 5518, 15247, 5797]",0,2
6416,6416,6416,#AngelReese was scared to taunt #CaitlinClark during the game so she waited until 10 seconds left and a double digit lead. LMAOOOO,"[951, 3730, 1512, 6076, 3976]","[7768, 2435, 675, 746, 745]",0,0
6417,6417,6417,#CaitlinClark is still a bad mf on the court!,"[318, 6951, 6245, 392, 6133]","[18399, 9881, 6723, 6075, 21989]",1,2
6421,6421,6421,Iowa LOST because they were Sweet and Sugary!!! #iowahawkeyes #CaitlinClark https://t.co/7OHbs1iwbb,"[6190, 3922, 7573, 2852, 3702]","[731, 11817, 11816, 2588, 7549]",0,2
6422,6422,6422,"I'm not even a hawkeye fan. How tf is #AngelReese going to disrespect the ONE person who brought SO much attn to college women's basketball this yr? 

Ain't nobody tune in to see you Reese, but go off...

#NCAAChampionship #LSUWBB #LSUvsIOWA #IowaWBB #iowahawkeyes #CaitlinClark","[2852, 6190, 789, 5904, 6234]","[15816, 9452, 842, 7549, 24123]",0,0
6425,6425,6425,#WFinalFour  #CaitlinClark,"[2608, 5257, 3687, 1574, 318]","[9881, 7168, 6332, 15543, 5730]",0,2
6427,6427,6427,"@stoolpresidente When #CaitlinClark🐐 made this gesture, she didn’t follow players around in an attempt to taunt them. #AngelReese did, and actually followed Clark around the court directly taunting her. Sorry folks, that’s the reality, and it’s not the same

#Iowa #iowavslsu #WFinalFour https://t.co/RKRW63ZOEX","[2026, 6234, 6190, 392, 2455]","[1714, 14315, 6180, 5415, 19572]",0,2
6429,6429,6429,SAY IT LOUDER FOR THE PEOPLE IN THE BACK! #LSU #AngelReese #CaitlinClark #NCAAChampionship,"[3679, 3667, 4539, 6077, 3415]","[12296, 842, 9671, 724, 11747]",1,2
6430,6430,6430,"NCAA Womens Basketball Champions | LSU Tigers💜💛🏆
✨https://t.co/JRhCOvUhCX✨
#croccharms #LSU #geauxtigers #kimmulkey #caitlinclark  #ncaawomensbasketball #alexismorris #angelreese #jasminecarson #noclass #classless https://t.co/KFgdB6BnlL","[7804, 6047, 8193, 4643, 5865]","[724, 11747, 12657, 842, 24711]",1,1
6431,6431,6431,CAITLIN CLARK is the reason so many watched March madness this year! Great performance and outstanding athlete! #marchmadnesswbb #iowahawkeyes  #CaitlinClark,"[5528, 2026, 6234, 6647, 1588]","[24205, 9881, 12668, 5179, 4664]",1,2
6432,6432,6432,"@OrtizKicks I guess this is the first game you've seen of #CaitlinClark, because either you don't find the same shit done by #CaitlinClark classless, then it's not.","[6354, 5528, 6777, 627, 1346]","[19899, 16696, 2847, 17558, 4526]",0,2
6433,6433,6433,If I’m #AsaHutchinson I take it as a sign that on the day you announce plans to run for #POTUS the only thing people are talking about is #CaitlinClark,"[4760, 959, 2961, 7574, 7042]","[723, 24205, 13583, 11913, 24123]",1,2
6434,6434,6434,@Wylin_Kylin 😂😂😂😂#CaitlinClark,"[2974, 2608, 37, 5528, 5257]","[19899, 3136, 6332, 5730, 12675]",1,2
6435,6435,6435,#CaitlinClark is the people’s champ! Refs can’t deny her that.. 30 points. 8 assists and 2 rebounds. GREAT YEAR CHAMP!!,"[2026, 5865, 966, 5537, 1594]","[9338, 14422, 352, 18653, 1776]",1,2
6436,6436,6436,"@Beaufighter_MkI @IowaWBB #CaitlnCollins &amp; all the #IowaWBB team, you all are a thrill to watch! Thank you for entertaining us for the past few months. The refs were overly unfair the entire game. The T called on #CaitlinClark was insane! Can't wait until 2023/24 season 🏀 https://t.co/F9XX7HkDjo","[6190, 3922, 2026, 724, 2836]","[16451, 18399, 6327, 1776, 16507]",1,2
6437,6437,6437,"#FINALFOUR: @LSUsports ousts #CaitlinClark  and @TheIowaHawkeyes , as Mulkey secures her fourth NCAA title🏆🏀🏀🏆! The Details HERE also get More news!

https://t.co/lB9yKkQ8ae https://t.co/R8S4yQBQY0","[5528, 2026, 8015, 2852, 37]","[5305, 18399, 842, 8393, 2889]",1,2
6438,6438,6438,"SOOOOOO CLEAR FOLKS WANT TO HAVE THEIR DRAWS IN A BUNCH ABOUT #ANGELREESE AND WHAT SHE DID TO #CaitlinClark BUT WANT TO ACT CLUELESS WHEN CLARK DID IT!!! TYPICAL!!!

@TheIowaHawkeyes @LSU https://t.co/2kA5AO6CDb","[6234, 5528, 4601, 2026, 2583]","[6075, 18399, 4752, 1017, 352]",0,2
6439,6439,6439,"With all this talk of class with women’s basketball the only thing I’ll say is that it says a lot when your seconds away from winning a ring and you’re more focused on rubbing it in, than celebrating the moment with teammates #CaitlinClark #AngelReese","[3072, 1594, 1120, 2638, 7838]","[22010, 23602, 1522, 16310, 1587]",0,1
6440,6440,6440,"I wanted Iowa to win shorty run would’ve been crazy!!…but cmon now chill with the antics #CaitlinClark would be doin the same thing that #AngelReese did had they won, ppl just hate to see “the blacks” win 😆😆","[6190, 2852, 3922, 2026, 1168]","[731, 11816, 22668, 20224, 7028]",0,0
6441,6441,6441,"#FINALFOUR: #LSU ousts #CaitlinClark and #Iowa, as Mulkey secures her fourth NCAA title🏆🏀🏀🏆! The Details HERE also get More news!

https://t.co/lB9yKkQ8ae https://t.co/QvdrugRPsc","[2852, 5528, 2026, 6190, 8193]","[842, 24711, 724, 8393, 12657]",1,1
6442,6442,6442,When you win you get to pop your shit. That’s just how it go. Congrats to LSU! Clark still a mf dawg!! #LSU #CaitlinClark,"[6190, 1655, 3679, 3922, 2852]","[12296, 8393, 7549, 5305, 24711]",1,2
6443,6443,6443,I was ok when #CaitlinClark did it &amp; im ok when #AngelReese did it. The difference is Angel Reese did it when it mattered most. I played sports for a longtime if i ever was to gloat it was done once we reached the top of the mountain.,"[1594, 5826, 951, 7720, 3482]","[14354, 12668, 14463, 14422, 816]",1,2
6444,6444,6444,People want to call #AngelReese trashy for taunting #CaitlinClark but when #CaitlinClark did it she’s classy. It’s not the behavior people have a problem with. Open your eyes. Too much hate. Shows some damn respect or shut up. Congratulations to the champs. #LSUWBB,"[214, 6454, 7607, 2666, 2455]","[101, 1776, 8393, 17778, 9338]",0,2
6445,6445,6445,Damn. Can the media worship #CaitlinClark tomorrow? I'm pretty sure #LSUWBB just won the #NCAAChampionship. 🤔Give those young ladies the respect they deserve! 🙌🏾🎉🍾,"[7804, 3922, 5528, 6047, 4643]","[8393, 842, 12296, 24711, 9452]",1,2
6446,6446,6446,#whitepeople are mad af #CaitlinClark didn't get the job done so much that they are calling us classless after doin a taunt that Caitlin did jus one game before also Caitlin told a player to stfu cause they were winning but #AngelReese has no class 😂🤣 y'all some fucking clowns,"[7656, 6454, 4776, 6777, 4306]","[3292, 1445, 22771, 9251, 1517]",0,0
6447,6447,6447,"The #WNBA basically gifted the #NBA #CaitlinClark by making these women give multiple years instead of 1 in college like the men. 

#FirstWomanInTheNBACaitlinClark @mcuban","[5865, 4643, 5528, 8203, 3687]","[20153, 758, 2484, 9301, 12657]",1,2
6448,6448,6448,#CaitlinClark outplayed every single player on the court today &amp; probably throughout #MarchMadness . #Iowa should be proud of her. A great future is waiting for that girl. #Hawkeyes,"[2026, 2852, 5528, 6234, 6190]","[18399, 842, 731, 24205, 5179]",1,2
6449,6449,6449,"If you're an #NBA team and you aren't thinking of drafting #CaitlinClark with a late pick then I dunno why. At the very worst in the @NBA she could be a fast release knockdown shooter with #KlayThompson type upside. Range is unreal, good ball skills. @CharissaT","[5865, 2026, 1748, 318, 4164]","[15938, 16667, 21496, 17400, 22874]",1,2
6450,6450,6450,"@KeithOlbermann Wrong. #CaitlinClark did the same shit, several times during the tournament. #AngelReese was calling her out for getting cocky about winning the whole thing and mimicked her. Caitlin can dish it but can't take it and now all the bigots want to say Angel Reese has #NoClass. Gross.","[6777, 5537, 2026, 6914, 5826]","[22771, 20993, 6904, 7768, 14315]",0,2
6451,6451,6451,@BleacherReport She’s not wrong. Of it weren’t for #CaitlinClark millions of people wouldn’t have tuned in at all. Thank you #CaitlinClark for changing the perception of women’s basketball and raising the bar for UI athletics!,"[4643, 2455, 5865, 5528, 8140]","[13564, 16462, 17037, 6068, 758]",1,2
6452,6452,6452,#CaitlinClark taunted y’all was quiet. Now a black girl does it’s a problem??? So telling who voted for #TrumpForPrison #selectiveoutrage …. Here tf we go! Go #LSU 👏🏾👏🏾👏🏾👏🏾👏🏾,"[317, 2852, 959, 5166, 6155]","[2719, 4628, 8105, 18694, 8393]",0,0
6453,6453,6453,"Must be hard to win a championship and be so unsportsmanlike. Yet no one’s talking about #LSWHO only #CaitlinClark 🤷🏼‍♀️

#WFinalFour #iowahawkeyes #Clark","[6190, 2852, 7709, 3922, 2638]","[18399, 842, 22211, 5609, 24711]",0,0
6454,6454,6454,I fucking love it taunt now #CaitlinClark,"[4816, 2717, 4760, 3987, 3687]","[1402, 9353, 20079, 924, 18362]",1,2
6455,6455,6455,@MStew_810 Clark didn’t follow anyone around the court trying to get in her face either. Reese doesn’t hold a candle to CC. #CaitlinClark -#IOWAVSLSU,"[6234, 392, 5826, 6777, 2026]","[6724, 18399, 4165, 8398, 4214]",0,2
6456,6456,6456,"Even in defeat, #CaitlinClark's @NCAA tournament run was one to remember: https://t.co/JW60t1yeFm
#LSUvsIOWA #WFinalFour","[1122, 2836, 5528, 5234, 2033]","[2588, 5305, 18399, 724, 842]",1,2
6457,6457,6457,"@EmmanuelAcho Different situations. Show the whole clip of Angel Reese stalking Clark around the court. The girl tainted her own victory. 

#CaitlinClark","[7607, 6777, 2568, 5651, 958]","[6075, 5444, 6724, 16462, 4165]",0,2
6458,6458,6458,"@Flour_Ranger Different situations. Show the whole clip of Angel Reese stalking Clark around the court. The girl tainted her own victory. 

#CaitlinClark","[7607, 6777, 5651, 5127, 1748]","[4804, 6075, 5137, 6724, 4165]",0,2
6459,6459,6459,"@TheNBACentral @etanthomas36 Different situations. Show the whole clip of Angel Reese stalking Clark around the court. The girl tainted her own victory. 

#CaitlinClark","[7607, 6777, 2568, 958, 5127]","[6075, 18492, 4831, 6724, 16462]",0,2
6460,6460,6460,"SportsCenter Espn, and ABC portraying African Americans in a different light making them look a certain way in which would cause hate Shameful and pitiful. #AngelReese #CaitlinClark #Iowa #lsu this should not be the topic should be talking about how great it was 4 women’s sports https://t.co/dkpduHhfHm","[2852, 4643, 7994, 6596, 5647]","[16740, 15088, 8105, 6652, 17778]",0,0
6462,6462,6462,@getnickwright #CaitlinClark has done this quite often from what I understand. America's selective outrage and racism are as both guaranteed just as much as death and taxes.,"[854, 5617, 934, 7528, 4580]","[6650, 14141, 6355, 4628, 4566]",0,0
6463,6463,6463,That is my message to some people who are upset about #angelareese did to #CaitlinClark  Let them play. It's sports.  If these people who are not happy with that then they need to get a life! #mood #SundayThoughts https://t.co/cFjjSD499Z,"[1168, 2455, 4958, 7188, 3222]","[1035, 758, 22771, 4133, 19431]",1,2
6464,6464,6464,Absolute CLASS ACT #CaitlinClark @DeaceOnline @TheIowaHawkeyes #SaveWomensSports,"[3044, 5528, 2235, 7838, 7804]","[1541, 7141, 5540, 17999, 14855]",1,2
6465,6465,6465,"If it wasn’t “classless” when #CaitlinClark did it, don’t call it classless when #AngelReese does it. Let the women compete, it’s sports!! 

Congratulations !!! LSU beats Iowa to win its first NCAA women’s basketball championship…. https://t.co/Iwqm3wVj0Y","[3922, 7804, 4643, 6333, 2852]","[9676, 1085, 19748, 17037, 2588]",1,2
6467,6467,6467,"#CaitlinClark  3 pt baby!! Them 3s was threeing!!! 

Good game young lady!!!","[1213, 1722, 7793, 8121, 7027]","[1143, 16040, 10256, 710, 9881]",1,2
6468,6468,6468,"Check out an all new episode of the Bamgboshe Happy Hour streaming tonight Wednesday April 5th at 7pm CT!

https://t.co/QkSXBNjVQq

#firstlady #NCAAChampionship #AngelReese #CaitlinClark #IndictmentDay #podcast https://t.co/I5rvM2siJK","[6325, 2594, 2068, 6429, 2852]","[9348, 18225, 15163, 3490, 4273]",0,2
6469,6469,6469,John Cena giving credit where it’s due! @TonyYayo here’s your flowers 💐 #lsuvsiowa #AngelReese #CaitlinClark #hiphopculture rules! https://t.co/cWaUeFQa3I,"[1080, 2691, 5876, 1923, 2928]","[18244, 1821, 1402, 2395, 2762]",1,2
6470,6470,6470,John Cena giving credit where it’s due! @TonyYayo here’s your flowers 💐 #lsuvsiowa #AngelReese #CaitlinClark #hiphopculture rules! https://t.co/sHOCfaokWI,"[1080, 2691, 5876, 1923, 7289]","[18244, 1821, 2395, 1402, 2762]",1,2
6471,6471,6471,"I wonder if @TonyYayo streams went up after #AngelReese and #CaitlinClark did the you can't see me. @50cent will needs his money by Monday 😆!!!! 

#soseductive
#LSULadyTigers
#LSUChampions
https://t.co/2gtEvuea2Q","[7377, 3922, 2836, 1939, 6190]","[8393, 12296, 14892, 15025, 23569]",1,2
6472,6472,6472,Opinion: The Importance Of LSU Star Angel Reese’s Shameless Trash Talking .....Please follow to support..... https://t.co/xbWQxKZaRq #angelreese #CaitlynClarkHawkeyes #LouisianaStateUniversity #CaitlinClark,"[5527, 754, 6190, 2778, 2852]","[17778, 12296, 8393, 3354, 3684]",1,2
6473,6473,6473,"#podcast #angelreese #caitlinclark #daveportnoy 
https://t.co/cwhCRYwTy6","[1652, 2247, 911, 3253, 1485]","[4468, 14167, 6257, 4937, 756]",0,2
6475,6475,6475,"Why dont we invite all the NCAAW Teams, they all played well, practiced hard. Let's bring all the teams to the White House. Next year, let's not even keep score, ""We Are All Winners"" Si se Puuadrea""...#JillBiden  #AngelReese #LSULadyTigers #LSUChampions #Iowa #CaitlinClark","[3922, 6190, 2852, 8193, 7804]","[12296, 8393, 842, 24711, 9671]",1,2
6476,6476,6476,@BleacherReport @OTLonESPN I wonder how #AngelReese and the LSU Lady Tigers feel about this statement ? #CaitlinClark is definitely a generational talent. #BrittneyGriner was too Kim! https://t.co/1mdysVduPo,"[6777, 6914, 1748, 186, 2026]","[14055, 20697, 2860, 15004, 660]",1,2
6477,6477,6477,#CaitlinClark  Congratulations! @CaitlinClark22 https://t.co/pvOCQrLszA,"[754, 5528, 4224, 2344, 1923]","[19899, 4276, 9652, 1962, 5730]",1,2
6478,6478,6478,"@krassenstein I have to wonder what real women (not sissy’s that couldn’t be a real man) feel about Dylan Mulvaney being hired by Nike modeling its sports bras &amp; of course spokesFREAK for #BudLight 

Transgender boys will be taking your NCAA scholarships soon

#NCAAW #CaitlinClark #AngelReese","[4643, 8203, 5876, 6828, 1902]","[15509, 7019, 1183, 1453, 15432]",0,0
6479,6479,6479,"On this edition of The Robinson Show, #publicaddressannouncer #JaimeCoffee. We discuss her experience working #NCAAWomensBasketballNationalChampionshipGame, being in the #Wubble (#WNBA Bubble), #AngelReese, #CaitlinClark &amp; more. #LSU #Iowa #MarchMadness
https://t.co/mc6jZnbU50","[392, 5528, 2026, 5865, 6234]","[16138, 14832, 16391, 6499, 24414]",1,2
6482,6482,6482,"On this edition of The Robinson Show, #publicaddressannouncer #JaimeCoffee @JaimeCoffee. We discuss her experience working the #NCAAWomensBasketballNationalChampionshipGame, being in the #Wubble (#WNBA Bubble), #AngelReese, #CaitlinClark &amp; more. #LSU #Iowa
https://t.co/GNinW1g76n","[392, 5528, 2026, 6234, 5865]","[16138, 16391, 14832, 6499, 13564]",1,2
6483,6483,6483,The fact that Caitlin Clark and Iowa's WBB team is being villainized for Iowa being invited to the White House is incredibly dumb. Why is Caitlin and Iowa's WBB team being villainized for what someone else said? They can't control what Jill Biden says! #MarchMadness #CaitlinClark,"[4716, 3628, 6234, 2778, 7573]","[731, 14243, 2720, 2719, 9637]",1,2
6484,6484,6484,"#lsu vs #iowa I started by saying ""get over sport trash talk"" then ""no more basketball until children stop getting shot at school"" THEN ""no more sports for anyone until children stop getting shot"" 

#Hawkeyes #Tigers  #CaitlinClark #AngelReese","[6190, 2638, 2852, 627, 7568]","[842, 9671, 24711, 11747, 11817]",0,1
6485,6485,6485,"#LSU wins #Ncaa #Women's National Title, Angel Reese criticized ...
 
https://t.co/0rKVWyEeWW
 
#AAC #AngelReese #Basketball #Big10 #Big12 #CaitlinClark #CBB #College #CollegeBasketball #D1CollegeBasketball #IOWA #IowaBasketball #LeBron #LebronJames #LSUBasketball #Nba #News https://t.co/Bvbo0XxWL5","[6190, 5865, 5527, 3922, 7522]","[8393, 842, 724, 12657, 12296]",1,2
6486,6486,6486,"#JohnCena #flavorflav #tonyyayo #CaitlinClark #AngelReese
#youcantseeme 

https://t.co/P3zDShUN8y","[5537, 3307, 2732, 3352, 2830]","[4937, 19522, 5024, 4029, 19331]",0,2
6487,6487,6487,#AngelReese &amp; #CaitlinClark could be the best of friends off camera &amp; y'all would still try to make this some real street beef. They deserve better. 😭,"[2153, 3222, 1023, 8462, 4926]","[275, 17520, 13605, 1315, 13199]",1,2
6488,6488,6488,#CaitlinClark speaks on backlash #AngelReese received over hand gesture 👋🏽 https://t.co/POCnRfTj0C,"[951, 3730, 716, 2517, 648]","[1823, 1717, 15137, 4923, 15986]",0,2
